RouteNum;Authority;City;Transport;Operator;ValidityPeriods;SpecialDates;RouteTag;RouteType;Commercial;RouteName;Weekdays;RouteID;Entry;RouteStops;Pikas2012.11.19;Datestart
7;;;;;16450,;;;A>B;A;ДС Курасовщина-Колядичи;1234567;149776;;15836,15049,15050,15089,15960,58364,15990,15992,15993,15995,15997,191178,15998;;d1-d5 - 15.01.2015<br>d6 - 17.01.2015<br>d7 - 18.01.2015
;;;;;;;;B>A;A;Колядичи-ДС Курасовщина;12345;149777;;15998,73901,16000,191180,191181,15996,15994,16001,15991,16159,15985,15052,15053,15056,15836;;
;;;;;16452,;;;B>A;A;Колядичи-ж/д ст. Колядичи - ДС Курасовщина;67;150564;;15998,73901,16000,191180,191181,15996,15994,16001,15991,16159,15985,15052,15053,15056,15836;;
7а;;;;;16450,;;;A>B;A;ДС Курасовщина- Ж/д ст.Колядичи - Колядичи;12345;149779;;15836,15049,15050,15089,15960,58364,15990,15992,15993,191180,191181,15995,15997,191178,15998;;d1-d5 - 15.01.2015<br>d6 - 17.01.2015<br>d7 - 18.01.2015
;;;;;16452,;;;A>B;A;ДС Курасовщина-Ж/д ст.Колядичи - Колядичи;67;150565;;15836,15049,15050,15089,15960,58364,15990,15992,15993,191180,191181,15995,15997,191178,15998;;
;;;;;16450,;;;B>A;A;Колядичи - ДС Курасовщина;1234567;149780;;15998,73901,16000,15996,15994,16001,15991,16159,15985,15052,15053,15056,15836;;
8;;;;5 АП;16095,;;;A>B;A;ДС Сухарево-5 - Люцинская;1234567;119324;;133395,73664,71996,15177,14893,15178,14878,14867,14600,14601,15522,147005,187016,187017,133381,133382,133386,133383;;d1-d5 - 03.11.2014<br>d6-d7 - 25.01.2014
;;;;;;;;B>A;A;Люцинская - ДС Сухарево-5;1234567;119325;;133383,133387,133389,133384,133385,73866,133344,72403,14606,14607,14868,14889,14890,14891,73662,71995,73663,133395;;
9;;;;6 АП;16440,;;;A>B;A;Серебрянка-9 - Завод ЖБИ;12345;148085;;15795,15796,15799,15801,15804,15806,14510,15618,15619,15295,15296,15297,15620,16040,16042,14826,14625,14713,14747,14748,14749,58367,14784,14785,14786,14787,14788,14789,14792,14793;;d1-d5 - 05.01.2015
;;;;;;;;B>A;A;Завод ЖБИ -  Серебрянка-9;12345;148087;;14793,69288,14791,14794,14820,14821,14822,14823,14750,14751,14752,14753,14824,14825,58378,14828,16041,15343,15344,15345,15346,15621,15622,14508,14509,15805,15803,15802,15800,15798,15797,15795;;
;;;;;;;0.3;C>B;A;ДС Шабаны - Завод ЖБИ;12345;148094;;14747,14748,14749,58367,14784,14785,14786,14787,14788,14789,14792,14793;;
;;;;;;;0.42;D>A2;A;АП 6 -  Серебрянка-9;12345;148091;;15343,15344,15345,15346,15621,15622,14508,14509,15805,15803,15802,15800,15798,15797,15795;;
;;;;;;;0;D>B;A;АП 6 - Завод ЖБИ;12345;148086;;15620,16040,16042,14826,14625,14713,14747,14748,14749,58367,14784,14785,14786,14787,14788,14789,14792,14793;;
9д;;;;;;;;A>B;A;ДС Шабаны - Серебрянка-9;1234567;148097;;14746,14752,14753,14824,14825,58378,14828,16041,15343,15344,15345,15346,15621,15622,14508,14509,15805,15803,15802,15800,15798,15797,15795;;d1-d5 - 05.01.2015<br>d6-d7 - 01.03.2015
;;;;;;;;B>A;A;Серебрянка-9 - ДС Шабаны;1234567;148098;;15795,15796,15799,15801,15804,15806,14510,15618,15619,15295,15296,15297,15620,16040,16042,14826,14625,14713,14746;;
;;;;;16495,;;0;A>D;A;ДС Шабаны - АП 6;67;153459;;14746,14752,14753,14824,14825,58378,14828,16041,14712;;
;;;;;16440,;;0;D>A2;A;АП 6 - ДС Шабаны;67;148096;;15620,16040,16042,14826,14625,14713,14746;;
;;;;;16495,;;0.6;D>B2;A;АП 6 - Серебрянка;67;153457;;15343,15344,15345,15346,15621,15622,14508,14509,15805,15803,15802,15800,15798,15797,15795;;
10;;;;2 АП;16523,63;;;A>B;A;ДС Дружная - Чкаловский;12345;157139;;15914,15665,15838,15873,238028;;d1-d5 - 01.04.2015<br>d6-d7 - 04.04.2015
;;;;;16529,57;;;A>B;A;ДС Дружная -Чкаловский;67;157344;;15914,15665,15838,15873,238028;;
;;;;;16523,63;;;B>A;A;Чкаловский - ДС Дружная;1234567;157143;;238028,15874,15872,15839,15844,68833,15914;;
11;;;;5 АП;16405,;;;A>B;A;ДС Веснянка - ДС Сухарево-5;1234567;143230;;15846,204289,14554,71343,15852,15854,15856,54537,14699,15223,15224,15225,15256,15257,15248,14593,14594,14595,14857,14862,14863,14866,14869,14889,14890,14891,73662,71995,73663,133395;;d1-d5 - 01.12.2014<br>d6-d7 - 06.12.2014
;;;;;;;;B>A;A;ДС Сухарево-5 - ДС Веснянка;1234567;143227;;133395,73664,71996,15177,14893,15178,14878,14879,14880,14861,14856,14679,14680,14681,15249,15254,15255,15263,15277,15278,14841,54519,15855,15853,14551,204094,15846;;
12;;;;;16447,;;;A>B;A;ДС Кунцевщина - ДС Сухарево-5;12345;149127;;15858,15522,72615,72616,72617,14868,14889,14890,14891,73662,71995,73663,133395;;d1-d5 - 12.01.2015
;;;;;;;;B>A;A;ДС Сухарево-5 - ДС Кунцевщина;12345;149126;;133395,73664,71996,15177,14893,15178,14878,14608,72405,72406,72403,73580,15858;;
13;;;;7 АП;16179,;;;A>B;A;ДС Зелёный Луг-6 - Макаёнка;1234567;124772;;15788,15787,15784,15782,14461,15181,14388,14454,14481,14482,15012,15013,14350,14347,14403,14423,14425,14427,14428;;d1-d5 - 01.04.2015<br>d6-d7 - 19.04.2014
;;;;;;;;B>A;A;Макаёнка - ДС Зелёный Луг-6;1234567;124773;;14428,14426,14424,14344,14348,14997,14998,14484,14483,14480,14389,15980,15981,14450,15781,15783,15785,15786,15788;;
13д;;;;;16526,;;;A>B;A;ДС Зелёный Луг-6 - Макаёнка;12345;156569;;15788,15787,15784,15782,58332,14438,14358,14362,14356,14353,14996,14351,14350,14347,14403,14423,14425,14427,14428;;d1-d5 - 01.04.2015
;;;;;;;;B>A;A;Макаёнка - ДС Зеленый Луг-6;12345;156570;;14428,14426,14424,14344,14348,14349,14352,58345,14357,14363,14361,14359,14440,14458,14459,15783,15785,15786,15788;;
14;;;;4 АП;16476,;;;A>B;A;ДС Восточная - Степянка;12345;152175;;15629,15612,15613,15614,15615,15942,15943,15813,15817,15819,16248,14771,14772,14774,14775,15363,15364,15365,15366,69253,15381,15382,15383,15384,15385;;d1-d5 - 10.02.2015
;;;;;;;;B>A;A;Степянка - ДС Восточная;12345;152176;;15385,15386,15387,15377,15370,15367,15368,15417,14738,14739,14740,14741,16247,15818,15815,15814,15940,15941,15626,15627,15628,73564,15629;;
;;;;;;;0.55;B1>D;A;Степянка - АП4 (подбор);12345;152180;;15385,15386,15387,15377,15370,15367,15368,15417,14738,14739,14740,14741,16247;;
;;;;;;;0.56;D>B1;A;АП4 - Степянка (подбор);12345;152179;;16248,14771,14772,14774,14775,15363,15364,15365,15366,69253,15381,15382,15383,15384,15385;;
15;;;;7 АП;16452,;;;A>B;A;ДС Славинского - Военная академия;1234567;150582;;15014,14485,14486,14487,14431,14676,14652,14378,14434,14437,14366,14627;;d1-d5 - 01.04.2015<br>d6-d7 - 17.01.2015
;;;;;;;;B>A;A;Военная академия - ДС Славинского;1234567;150579;;14627,14365,14436,14435,14656,14653,14675,14513,14514,14515,14996,14351,14997,15013,15014;;
16;;;;6 АП;16040,;;;A>B;A;ДС Ангарская-4 - ДС Чижовка;1234567;111543;;68909,15305,15306,15307,15308,15320,15321,15322,15971,15963,15972,15973,15965,15344,15345,15704,15705,15707,15530,15510,15511,15512,15513,15523,15524,15525,68866;;d1-d5 - 20.11.2014<br>d6-d7 - 01.12.2013
;;;;;;;;B>A;A;ДС Чижовка - ДС Ангарская-4;1234567;111539;;68866,15504,15505,15506,15507,15508,15509,15529,15709,15708,15706,15295,15296,15966,15967,15968,15969,15970,15323,15324,15325,15326,15327,15328,15329,68849,68909;;
17;;;;5 АП;16347,;;;A>B;A;ДС Сухарево-5 - ДС Кунцевщина;1234567;138510;;133395,73663,15142,15143,58348,15151,15152,15175,15176,14877,14878,14867,14600,14601,15522,15858;;d1-d5 - 12.01.2015<br>d6-d7 - 04.10.2014
;;;;;;;;B>A;A;ДС Кунцевщина - ДС Сухарево-5;67;138507;;15858,14606,14607,14868,14870,14892,15171,15173,15174,15156,15144,58347,73666,73665,133395;;
;;;;;16447,;;;B>A;A;ДС Кунцевщина -ДС  Сухарево-5;12345;149141;;15858,14606,14607,14868,14870,14892,15171,15173,15174,15156,15144,58347,73666,73665,133395;;
18;;;;4 АП;16424,;;;A>B;A;ДС Восточная - Новинки;1234567;145779;;15629,15630,15631,15632,15633,15634,68885,15741,15218,14961,14962,14963,14964,14965,14966,14967,14968,14969,15957;;d1-d5 - 23.03.2015<br>d6-d7 - 20.12.2014
