RouteNum;Authority;City;Transport;Operator;ValidityPeriods;SpecialDates;RouteTag;RouteType;Commercial;RouteName;Weekdays;RouteID;Entry;RouteStops;Pikas2012.11.19;Datestart
31;;;;7 АП;16467,;;;A>B;A;ДС Уручье-2  - Колодищанское кладбище;1234567;151224;;14386,14384,14382,14649,14651,14652,14378,14642,16157,14636,69032,16146,91052,16147,16144,16142,16140,16138,16136;;d1-d5 - 02.03.2015<br>d6-d7 - 01.02.2015
;;;;;;;;B>A;A;Колодищанское кладбище - ДС Уручье-2;1234567;151223;;16136,16139,16141,16148,16143,91054,16145,91053,73715,69033,14637,14638,14641,14656,14653,14650,14381,14383,14385,14386;;
32с;;;;2 АП;16501,;;;A>B;A;ДС Малиновка-4 - ДС  Дружная;123456;154468;;54638,14951,14952,14953,14954,14930,14931,14986,14987,143099,14919,14920,14921,69034,72434,15691,15694,15696,15698,15699,15700,15701,15844,71378;;d1-d5 - 01.04.2015<br>d6 - 07.03.2015<br>d7 - 08.03.2015
;;;;;16502,;;;A>B;A;ДС Малиновка-4 - ДС Дружная;7;154536;;54638,14951,14952,14953,14954,14930,14931,14986,14987,143099,14919,14920,14921,69034,72434,15691,15694,15696,15698,15699,15700,15701,15844,71378;;
;;;;;16501,;;;B>A;A;ДС  Дружная - ДС Малиновка-4;123456;154467;;71378,204368,15667,15668,15669,15675,14718,15684,15685,15689,72458,14911,14922,14923,14924,14976,14977,14945,14946,14947,14948,14949,14950,147112,54638;;
;;;;;16502,;;;B>A;A;ДС Дружная - ДС Малиновка-4;7;154535;;71378,204368,15667,15668,15669,15675,14718,15684,15685,15689,72458,14911,14922,14923,14924,14976,14977,14945,14946,14947,14948,14949,14950,147112,54638;;
33;;;;7 АП;16496,;;;A>B;A;ДС Уручье-2 - Копище;1234567;153804;;14386,14384,14382,14648,14646,14644,14641,14656,14653,14674,14379,14664,144041,144042,144043;;d1-d5 - 02.03.2015<br>d6-d7 - 04.04.2015
;;;;;;;;B>A;A;Копище - ДС Уручье-2;1234567;153805;;144043,161015,14663,14380,14673,14652,14378,14643,14645,14647,14381,14383,14385,14386;;
34;;;;4 АП;16484,;;;A>B;A;ДС Славинского - пер. Липковский;1234567;152878;;15014,14350,14347,14403,14346,14342,14422,14421,14419,14417,14415,14414,16018,16002,54765,54766,16017,207001;;d1-d5 - 18.02.2015<br>d6-d7 - 21.02.2015
;;;;;;;;B>A;A;пер. Липковский - ДС Славинского;1234567;152879;;207001,14412,14413,14416,14631,14418,14420,14341,14343,14344,14348,14997,15014;;
36;;;;5 АП;16446,;;;A>B;A;ДС Кунцевщина - Тарасово;1234567;149262;;15858,14606,14607,14608,14610,73868,111331,111333,111334;;d1-d5 - 12.01.2015<br>d6-d7 - 11.01.2015
;;;;;;;;B>A;A;Тарасово - ДС Кунцевщина;1234567;149265;;111334,133410,111332,14612,72617,14600,14601,15522,15858;;
;;;;;16447,;;0.35;D>A1;A;D - ДС Кунцевщина;12345;149176;;14612,72617,14600,14601,15522,15858;;
;;;;;16446,;;0.78;D>B1;A;АП 5 - Тарасово;1234567;149264;;14608,14610,73868,111331,111333,111334;;
37;;;;7 АП;16425,;;;A>B;A;дс Карбышева - дс Восточная;1234567;146141;;14364,14358,14362,14356,14353,14484,14483,14480,14390,14392,14395,14397,14399,14401,14403,14490,14492,15859,14767,15515,15516,15480,15605,15606,15607,15629;;d1-d5 - 01.04.2015<br>d6-d7 - 21.12.2014
;;;;;;;;B>A;A;дс Восточная -дс Карбышева;1234567;146142;;15629,15630,15631,15632,15481,15314,15482,15483,15514,15952,14756,14494,14495,14344,14402,14400,14398,14396,14394,14391,14454,14481,14482,14485,14354,14357,14363,14361,14359,14440,14364;;
;;;;;;;0.4;D>B1;A;D АП 7 - Парк Челюскинцев;12345;146143;;14492,15859,14767,15515,15516,15480,15605,15606,15607,15629;;
38;;;;;16496,;;;A>B;A;ДС Карастояновой - ДС Дружная;1234567;153813;;15750,15714,15714,15713,58346,15724,15726,15727,15728,14468,14469,15565,15566,15122,15774,15891,71378;;d1-d5 - 02.03.2015<br>d6-d7 - 07.03.2015
;;;;;;;;B>A;A;ДС Дружная - ДС Карастояновой;1234567;153814;;71378,15914,15912,15920,15599,15600,15601,15602,15219,15730,15729,15751,15725,15717,15716,15715,15750;;
39;;;;4 АП;16377,;;;A>B;A;д/с Восточная - ЩЕДРИНА;12345;140993;;15629,15630,15631,15632,15633,15634,68885,15741,15218,14961,14962,14963,15145,15146,15148;;d1-d5 - 03.11.2014
;;;;;;;;B>A;A;ЩЕДРИНА - д/с Восточная;12345;140994;;15148,15149,15005,15006,15007,15008,58359,15740,15738,15603,15604,15605,15606,15607,15629;;
40;;;;5 АП;16410,;;;A>B;A;ДС Кунцевщина - Ландера;1234567;144039;;15858,15553,15554,58331,72952,15517,15247,15250,15251,14839,15279,15280,15281,14685,14686,14687,14688,14689,14690,73579,15869,15665,15838,15020,15021,15022,15023,15024,15025,15026,15031,15032,15033,15034,15029;;d1-d5 - 12.01.2015<br>d6-d7 - 06.12.2014
;;;;;;;;B>A;A;Ландера - ДС Кунцевщина;1234567;144042;;15029,69069,69102,15030,15059,15060,15061,15062,15063,15064,15065,15837,15839,15845,15870,14572,14573,14575,14576,14577,15220,15221,15222,14700,15252,15253,15258,15518,15519,72951,15520,15521,15522,15858;;
41;;;;;16521,;;;A>B;A;ДС Одоевского - Каменная Горка-5;12345;155281;;14850,14853,15249,15254,15255,15226,15241,15242,15518,15519,72951,71956,71954,71953,71456,14605,14606,14607,14608,14610,73868,73864,73865,73866;;d1-d5 - 27.03.2015
;;;;;;;;B>A;A;Каменная Горка-5 - ДС Одоевского;12345;155280;;73866,133344,72403,14602,14603,71957,71952,71955,58331,72952,15517,15259,15260,15261,15262,15256,15257,15248,14852,14850;;
;;;;;;;0.28;E>C1;A;ДС Масюковщина - Каменная Горка-5;12345;155279;;14606,14607,14608,14610,73868,73864,73865,73866;;
;;;;;;;0.2;D>B1;A;АП 5 - Каменная Горка-5 (подбор от метро);12345;155286;;14608,14610,73868,73864,73865,73866;;
42;;;;;16405,;;;A>B;A;ДС Сухарево-5-Люцинская;12345;143380;;133395,73663,69090,73484,58361,15177,14893,15178,14878,14867,14600,14601,15522,151194,147007,199081,133381,133382,133386,133383;;d1 - 01.12.2014<br>d2-d5 - 13.02.2015<br>d6-d7 - 06.12.2014
;;;;;16410,;;;A>B;A;ДС Сухарево-5 - Люцинская;;144044;;;;
;;;;;16536,0;;;A>B;A;ДС Сухарево-5-Люцинская;67;157661;;133395,73663,69090,73484,58361,15177,14893,15178,14878,14867,14600,14601,15522,151194,147007,199081,133381,133382,133386,133383;;
;;;;;16405,;;;B>A;A;Люцинская-ДС  Сухарево-5;12345;143379;;133383,133387,133389,187018,147047,147006,72403,14606,14607,14868,14889,14890,14891,58360,58362,15141,73666,73665,133395;;
;;;;;16536,0;;;B>A;A;Люцинская -ДС  Сухарево-5;67;157660;;133383,133387,133389,187018,147047,147006,72403,14606,14607,14868,14889,14890,14891,58360,58362,15141,73666,73665,133395;;
;;;;;16405,;;0;D>B;A;D -Люцинская;12345;143387;;14878,14867,14600,14601,15522,151194,147007,199081,133381,133382,133386,133383;;
;;;;;16536,0;;0.58;D>B1;A;АП 5  -Люцинская;67;157664;;14878,14867,14600,14601,15522,151194,147007,199081,133381,133382,133386,133383;;
43;;;;4 АП;16515,;;;A>B;A;Вокзал - Степянка;1234567;155032;;15897,15443,15905,15906,15612,15613,15614,14477,15478,15475,15476,15814,15811,14736,14737,15364,15365,15366,69253,15381,15382,15383,15384,15385;;d1-d5 - 01.04.2015<br>d6-d7 - 21.03.2015
;;;;;;;;B>A;A;Степянка -Вокзал;1234567;155034;;15385,15386,15387,15377,15370,15367,15368,15417,14777,14778,15812,15813,15474,15477,14474,15626,15627,15628,15907,15908,15909,69093,15896,15897;;
43д;;;;;16513,;;;A>B;A;Ст.м. Тракторный завод - Степянка;1234567;154975;;15813,15814,15811,14736,14737,15364,15365,15366,69253,15381,15382,15383,15384,15385;;d1-d5 - 19.03.2015<br>d6-d7 - 21.03.2015
;;;;;;;;B>A;A;Степянка - Ст.м. Тракторный завод;12345;154974;;15385,15386,15387,15377,15370,15367,15368,15417,14777,14778,15812,15813;;
;;;;;16515,;;;B>A;A;Степянка -Сст.м.Тракторный завод;67;155043;;15385,15386,15387,15377,15370,15367,15368,15417,14777,14778,15812,15813;;
44;;;;7 АП;16501,;;;A>B;A;ДС Карастояновой - ст. Ждановичи;67;154478;;15750,15714,73818,73819,68965,15018,15019,15748,15747,15736,14471,15741,15218,15011,15526,15039,15040,15041,15855,15853,15851,15849,54761,15077,15046,15075,15078,15079,15080;;d1-d5 - 01.04.2015<br>d6-d7 - 07.03.2015
;;;;;16526,;;;A>B;A;ДС Карастояновой - ст Ждановичи;12345;157211;;15750,15714,73818,73819,68965,15018,15019,15748,15747,15736,14471,15741,15218,15011,15526,15039,15040,15041,15855,15853,15851,15849,54761,15077,15046,15075,15078,15079,15080;;
;;;;;16501,;;;B>A;A;ст. Ждановичи - ДС Карастояновой;67;154477;;15080,15081,15082,15076,15083,15921,54757,15850,15852,15854,15856,15084,15112,15113,15890,15743,58359,15740,15737,14516,14517,14518,14519,58357,73932,73820,15750;;
;;;;;16526,;;;B>A;A;ст Ждановичи - ДС Карастояновой;12345;157210;;15080,15081,15082,15076,15083,15921,54757,15850,15852,15854,15856,15084,15112,15113,15890,15743,58359,15740,15737,14516,14517,14518,14519,58357,73932,73820,15750;;
45;;;;2 АП;16450,;;;A>B;A;ДС Дружная - Минскрыбпром;12345;149875;;71378,15665,15838,15840,14810,14812,15065,15103,15101,15105,15106,15091,15071,15072,15073,15074;;d1-d5 - 15.01.2015
;;;;;;;;B>A;A;Минскрыбпром - ДС Дружная;12345;149876;;15074,15085,15086,15087,15088,15090,15097,15100,15102,14720,15842,15841,15839,15844,15914,71378;;
46;;;;;16419,;;;A>B;A;ДС Масюковщина - Бобруйская;12345;145289;;15228,15241,15242,15247,15250,15251,14839,15279,15280,15281,14685,14686,14687,14688,14570,14571,15893,15894,133147,212036;;d1-d5 - 15.12.2014<br>d6-d7 - 01.03.2015
;;;;;16495,;;;A>B;A;ДС Масюковщина -  Бобруйская;67;153515;;15228,15241,15242,15247,15250,15251,14839,15279,15280,15281,14685,14686,14687,14688,14570,14571,15893,15894,133147,212036;;
;;;;;16419,;;;B>A;A;Бобруйская  -  ДС Масюковщина;12345;145287;;212036,69093,15944,15892,14525,14526,14575,14576,14577,15220,15221,15222,14700,15252,15253,15258,15259,15260,15261,15262,15228;;
;;;;;16495,;;;B>A;A;Бобруйская  - ДС Масюковщина;67;153513;;212036,69093,15944,15892,14525,14526,14575,14576,14577,15220,15221,15222,14700,15252,15253,15258,15259,15260,15261,15262,15228;;
47с;;;;;16450,;;;A>B;A;Вокзал - Филиал БГУ;12345;149886;;15899,15944,15665,15838,15031,15947,16118,16119,16120;;d1-d5 - 15.01.2015
;;;;;;;;B>A;A;Филиал БГУ - Вокзал;12345;149883;;16120,16121,16122,15949,15950,15059,15839,15845,15870,15899;;
48;;;;6 АП;16447,;;;A>B;A;ДС Чижовка - Ландера;12345;149189;;15534,15539,15540,15541,15542,15484,15485,15486,15456,58334,15085,15086,15087,15088,15052,15053,15056,15057,15058,15027,69101,15028,15029;;d1-d5 - 12.01.2015
;;;;;;;;B>A;A;Ландера - ДС Чижовка;12345;149188;;15029,15036,15037,15038,15031,15047,15048,15049,15050,15051,15071,15072,15073,15074,15960,15490,15459,15460,15469,15498,15499,15500,15501,15538,193139,15710,15533,15534;;
49;;;;4 АП;16513,;;;A>B;A;ДС Масюковщина - С. Ковалевской;1234567;154979;;15227,15241,15242,15247,15250,15251,14701,14702,14703,14704,14714,14716,54642,15925,15927,15673,15675,14718,15676,15677,15678,15679;;d1-d5 - 19.03.2015<br>d6-d7 - 21.03.2015
;;;;;;;;B>A;A;С. Ковалевской - ДС Масюковщина;1234567;154982;;15679,15680,15681,15682,15698,15670,15671,15672,58363,15923,14762,14715,14817,14818,14819,14838,15252,15253,15258,15259,15260,15261,15262,15227;;
50с;;;;2 АП;16495,;;;A>B;A;ДС Дружная - ДС Сухарево-5;1234567;153524;;15914,204368,15845,15870,14572,14573,14576,14591,14852,15562,15587,15132,15136,15137,15138,15139,15140,15141,73666,73665,133395;;d1-d5 - 01.04.2015<br>d6-d7 - 01.03.2015
;;;;;;;;B>A;A;ДС Сухарево-5 - ДС Дружная;67;153526;;133395,73663,69090,58340,15153,15154,15158,15159,15160,15589,15588,14853,14682,14684,14687,14689,14690,73579,15869,73075,15914;;
;;;;;16526,;;;B>A;A;ДС Сухарево-5  - ДС Дружная;12345;156673;;133395,73663,69090,58340,15153,15154,15158,15159,15160,15589,15588,14853,14682,14684,14687,14689,14690,73579,15869,73075,15914;;
;;;;;16495,;;0;B>D;A;ДС Сухарево-5 - D АП 2;12345;153528;;133395,73663,69090,58340,15153,15154,15158,15159,15160;;
53;;;;;16450,;;;A>B;A;ДС Дружная - Ландера;1234567;149900;;15914,15665,15838,15840,14810,14812,15104,15103,15101,15099,15105,15106,15052,15053,15056,15057,15058,15031,15032,15033,15034,15035;;d1-d5 - 15.01.2015<br>d6-d7 - 01.03.2015
;;;;;;;;B>A;A;Ландера - ДС Дружная;1234567;149899;;15035,15036,15037,15038,15047,15048,15049,15050,15090,15097,15098,15100,15102,14720,15842,15841,15839,15844,68833,15914;;
54;;;;5 АП;16410,;;;A>B;A;ДС Запад-3 - ст.м. Спортивная;1234567;144055;;69517,14878,14600,14601,14602,14603,71957,133399,188136,188138,188140,15517,15247,15248,14593;;d1-d5 - 06.04.2015<br>d6-d7 - 06.12.2014
;;;;;;;;B>A;A;ст.м. Спортивная - ДС Запад-3;1234567;144056;;14593,15245,15246,15518,188142,188141,188139,188137,151196,71456,14605,14606,14607,14868,72620,69517;;
55;;;;2 АП;16450,;;;A>B;A;АВ Восточный - Ж/д ст. Минск-Южный;12345;149903;;14795,14796,14802,14803,14804,15447,15448,16186,195083,16187;;d1-d5 - 15.01.2015
;;;;;;;;B>A;A;Ж/д ст. Минск-Южный - АВ Восточный;12345;149904;;16187,15548,15549,14727,14728,14729,14730,14731,14732,14795;;
56;;;;6 АП;16526,;;;A>B;A;ДС Серебрянка - Дражня;12345;156674;;14501,14504,54305,54306,15759,15801,15804,15806,15807,15810,14735,14736,14737,15379,15380,15401;;d1-d5 - 01.04.2015
;;;;;;;;B>A;A;Дражня - ДС Серебрянка;12345;156675;;15401,15402,15403,15417,14777,14778,14779,15809,15808,15805,15803,15802,15758,15760,15762,14475,14476,14501;;
57;;;;4 АП;16480,;;;A>B;A;ДС Восточная - Семашко;1234567;152541;;15629,15983,15986,15984,15179,15779,15566,15122,15567,15568,15936,15937,15931,15934,15926,15924,14763,15201,16249,15685,15686,15688,15689,16251;;d1-d5 - 01.04.2015<br>d6-d7 - 14.02.2015
;;;;;;;;B>A;A;Семашко - ДС Восточная;1234567;152542;;16251,15197,15693,15694,16253,15200,15596,14816,15922,68958,15929,15930,15932,15597,15599,15600,15778,15150,15182,15987,15988,15629;;
58;;;;6 АП;16377,;;;A>B;A;АС Автозаводская  - ТЦ Ома;1234567;141043;;14830,15620,15954,14901,133409,73907,73908,14837,14832;;d1-d5 - 03.11.2014<br>d6 - 07.03.2015<br>d7 - 01.03.2015
;;;;;;;;B>A;A;ТЦ Ома - АС Автозаводская;1234567;141044;;14832,14899,16254,14621,14829,14712,14711,14830;;
59;;;;;16495,;;;A>B;A;ДС Чижовка - Кульман;1234567;153541;;68866,71280,15527,15528,15529,15769,14707,14708,14549,15622,15623,15624,14733,14734,14736,14737,14739,14740,14741,14742,14754,14755,14757,14766,15019,15748,15747,15732,15730,15719,15718,15721;;d1-d5 - 01.04.2015<br>d6-d7 - 01.03.2015
;;;;;;;;B>A;A;Кульман - ДС Чижовка;1234567;153538;;15721,14456,15731,14516,14517,14518,14765,14766,14767,14769,14770,14771,14772,14773,14775,14777,14778,14780,15616,15617,15618,58366,14550,149028,14579,14588,15530,15531,15532,15533,68866;;
;;;;;;;0.88;B1>D;A;Кульман - АП 6;1234567;153543;;15721,14456,15731,14516,14517,14518,14765,14766,14767,14769,14770,14771,14772,14773,14775,14777,14778,14780,15616,15617,15618,58366,14550,14579,14588,15530;;
;;;;;;;0.48;D>B1;A;АП 6 - Кульман (подбор с Круглой);1234567;153542;;14737,14739,14740,14741,14742,14754,14755,14757,14766,15019,15748,15747,15732,15730,15719,15718,15721;;
60;;;;5 АП;16437,;;;A>B;A;дс Запад-3 - ТЦ Ждановичи;1234567;149120;;69517,14878,14608,72405,72406,151194,147007,151195,71450,133184,133183;;d1-d5 - 01.04.2015<br>d6-d7 - 02.01.2015
;;;;;;;;B>A;A;ТЦ Ждановичи - ДС Запад-3;1234567;149121;;133183,133185,71451,147047,147006,72615,72406,72617,14868,72620,69517;;
61;;;;6 АП;16375,;;;A>B;A;ДС Ангарская-4 - Селицкого;1234567;140713;;68909,15305,15306,15307,15308,15332,15342,15339,15340,15341,15620,16040,14745,14747,14748,14749,58367,14784,14785,14786,14787,14788,14789,14792,14793,69287;;d1-d5 - 09.04.2015<br>d6 - 01.11.2014<br>d6-d7 - 01.01.2015<br>d7 - 02.11.2014
;;;;;;;;B>A;A;Селицкого - ДС Ангарская-4;1234567;140715;;69287,69288,14791,14794,14820,14821,14822,14823,69249,14824,14825,14828,16041,15298,15299,15300,15301,15302,15303,15326,15327,15328,15329,68849,68909;;
;;;;;;;0.65;61D>B;A;АП-6 - ст.м. Могилёвская - Селицкого;67;140717;;15620,16040,14745,14747,14748,14749,58367,14784,14785,14786,14787,14788,14789,14792,14793,69287;;
62э;;;;4 АП;16496,;;;A>B;A;ДС Запад-3 - Новинки;12345;153863;;69517,15170,14860,14615,14682,14838,14841,14844,14964,14967,14968,15957;;d1-d5 - 02.03.2015
;;;;;;;;B>A;A;Новинки - ДС Запад-3;12345;153864;;15957,15001,15002,14695,14696,14699,14591,14593,14865,14882,14888,69517;;
63;;;;7 АП;16444,;;;A>B;A;ДС УРУЧЬЕ-2 - Великий Лес;12345;148929;;14386,14384,14382,14648,14646,14644,14642,14376,14373,14372;;d1-d5 - 09.01.2015
;;;;;;;;B>A;A;Великий Лес- ДС УРУЧЬЕ-2;12345;148930;;14372,14374,14375,14377,14641,14643,14645,14647,14381,14383,14385,14386;;
64;;;;;16368,;;;A>B;A;ДС УРУЧЬЕ-2 - Макаенка;12345;140521;;14386,14404,14633,14629,14407,14410,14412,14413,14416,14631,14418,14420,14341,14343,14423,14425,14427,14428;;d1-d5 - 01.04.2015<br>d6 - 25.10.2014
;;;;;;;;B>A;A;Макаенка - ДС УРУЧЬЕ-2;123456;140518;;14428,14426,14424,14346,14342,15418,14421,14419,14417,14415,14414,14411,14409,14408,14406,14628,14405,14386;;
65;;;;2 АП;16515,;;;A>B;A;ДС  Лошица-2 - Городской Вал;67;155054;;68811,15462,15463,15464,15490,15487,15488,16125,16124,16127,72008,191173,15493,15494,15546,15547,15548,15549,14805,15880,15881,15883,15884,15885,15912,15920,14690;;d1-d5 - 01.04.2015<br>d6-d7 - 21.03.2015
;;;;;16526,;;;A>B;A;дс Лошица-2 - Городской Вал;12345;156706;;68811,15462,15463,15464,15490,15487,15488,16125,16124,16127,72008,191173,15493,15494,15546,15547,15548,15549,14805,15880,15881,15883,15884,15885,15912,15920,14690;;
;;;;;16515,;;;B>A;A;Городской Вал - ДС Лошица-2;67;155055;;14690,73579,15122,15774,15891,15918,15886,15887,15878,15879,15882,14726,15447,15448,15449,15450,15451,15452,16129,72007,16128,16126,16123,15457,15458,15456,15465,15466,15467,68810,68811;;
;;;;;16526,;;;B>A;A;Городской Вал - дс Лошица-2;12345;156707;;14690,73579,15122,15774,15891,15918,15886,15887,15878,15879,15882,14726,15447,15448,15449,15450,15451,15452,16129,72007,16128,16126,16123,15457,15458,15456,15465,15466,15467,68810,68811;;
;;;;;16515,;;0.46;A1>D;A;ДС Лошица-2 - D;67;155057;;68811,15462,15463,15464,15490,15487,15488,16125,16124,16127,72008,191173,15493,15494,15546,15547;;
;;;;;16526,;;0.46;A1>D;A;дс Лошица-2 - D;12345;156709;;68811,15462,15463,15464,15490,15487,15488,16125,16124,16127,72008,191173,15493,15494,15546,15547;;
;;;;;16515,;;0.45;B1>D;A;Городской Вал -  D АП 2;67;155058;;14690,73579,15122,15774,15891,15918,15886,15887,15878,15879,15882,14726;;
;;;;;16526,;;0.45;B1>D;A;Городской Вал - дс Лошица- D;12345;156710;;14690,73579,15122,15774,15891,15918,15886,15887,15878,15879,15882,14726;;
;;;;;16515,;;0;D>A;A;D - ДС Лошица-2;67;155060;;15450,15451,15452,16129,72007,16128,16126,16123,15457,15458,15456,15465,15466,15467,68810,68811;;
;;;;;16526,;;0;D>A;A;D - дс Лошица-2;12345;156712;;15450,15451,15452,16129,72007,16128,16126,16123,15457,15458,15456,15465,15466,15467,68810,68811;;
;;;;;16515,;;0.47;D>B1;A;D -2 - Городской Вал;1234567;155059;;15549,14805,15880,15881,15883,15884,15885,15912,15920,14690;;
66;;;;6 АП;16377,;;;A>B;A;АС Автозаводская  - Промышленная;1234567;141053;;14830,15620,15954,14901,14831,14834,14835,14836;;d1-d5 - 03.11.2014<br>d6-d7 - 01.03.2015
;;;;;;;;B>A;A;Промышленная - АС Автозаводская;1234567;141054;;14836,14895,14829,14712,14711,14830;;
67;;;;;16526,;;;A>B;A;ДС Чижовка - Колядичи;12345;156547;;68866,15539,15540,15541,15542,15485,15486,15456,58364,15990,15992,15993,15995,15997,15999,15998;;d1 - 06.04.2015<br>d2-d5 - 01.04.2015
;;;;;;;;B>A;A;Колядичи - ДС Чижовка;12345;156548;;15998,73901,16000,15996,15994,16001,15991,15490,15459,15460,15469,15499,15500,15501,15502,68866;;
68;;;;7 АП;16055,;;;A>B;A;ДС Карастояновой - Северное кладбище;1234567;113439;;15750,15714,15713,58346,14693,14694,14964,14968,14970,14971,16091,16093;;d1-d5 - 16.12.2013<br>d6 - 21.12.2013<br>d7 - 22.12.2013
;;;;;;;;B>A;A;Северное кладбище - ДС Карастояновой;1234567;113440;;16093,16090,14972,14999,15001,14845,14846,15716,15715,15750;;
68в;;;;;;;;A>B;A;ДС Карастояновой - Городок;12345;113441;;15750,15714,15713,58346,14693,14694,14964,14968,14970,14971,133406,16099;;d1-d5 - 16.12.2013
;;;;;;;;B>A;A;Городок - ДС Карастояновой;12345;113442;;16099,111279,14972,14999,15001,14845,14846,15716,15715,15750;;
69;;;;4 АП;16480,;;;A>B;A;Вокзал - Масюковщина;1234567;152545;;15899,15944,15870,15868,16238,15009,15010,15011,15526,15039,15040,15041,54537,15236,15237,15238,15239,16234,133181,16237;;d1-d5 - 01.04.2015<br>d6-d7 - 14.02.2015
;;;;;;;;B>A;A;Масюковщина - Вокзал;1234567;152548;;16237,16233,133157,15229,15230,15231,15235,14699,14841,54519,15084,15112,15113,15890,15114,15115,16239,15866,15899;;
70;;;;6 АП;16495,;;;A>B;A;АС Автозаводская - Дражня;1234567;153593;;133405,14711,14743,14623,14622,14624,14705,14706,15769,15770,14546,14548,14549,14580,14582,14709,14710,14507,15286,15362,15363,15379,15380,15401;;d1-d5 - 06.04.2015<br>d6 - 07.03.2015<br>d7 - 01.03.2015
;;;;;;;;B>A;A;Дражня - AC Автозаводская;67;153592;;15401,15402,15403,15417,15283,15284,14506,58374,15618,58375,58366,14550,14544,14545,14547,14478,14479,14583,14585,14584,14619,14620,16180,14626,133405;;
;;;;;16531,;;;B>A;A;Дражня - АС Автозаводская;12345;157455;;15401,15402,15403,15417,15283,15284,14506,58374,15618,58375,58366,14550,14544,14545,14547,14478,14479,14583,14585,14584,14619,14620,16180,14626,133405;;
;;;;;16501,;;0;D>A;A;АП 6 - ДС Автозаводская;12345;154496;;14479,14583,14585,14584,14619,14620,16180,14626,133405;;
72;;;;;16405,;;;A>B;A;ДС Шабаны - АС Автозаводская;12345;143275;;14746,14753,14824,14825,14828,16041,14712,14830;;d1-d4 - 01.04.2015<br>d5 - 03.04.2015
;;;;;;;;B>A;A;АС Автозаводская  - ДС Шабаны;12345;143272;;14830,15620,16040,16042,14826,14625,14713,14744,14746;;
72д;;;;;;;;A>B;A;АС Автозаводская - Электродепо Могилевское;12345;143269;;14830,15620,16112;;d1-d4 - 01.04.2015<br>d5 - 03.04.2015
;;;;;16416,;;;A>B;A;АС Автозаводская - Электродепо "Могилевское";;144743;;;;
;;;;;16405,;;;B>A;A;Электродепо Могилевское - АС Автозаводская;12345;143266;;16112,14712,14830;;
73;;;;;16495,;;;A>B;A;ДС Серова - ДС Веснянка;1234567;153598;;69176,15068,15095,15096,15097,15100,15102,15065,15837,15839,15845,15920,15599,15009,15010,15011,15526,15039,14532,14534,14536,14539,14551,15846;;d1-d5 - 01.04.2015<br>d6-d7 - 01.03.2015
;;;;;;;;B>A;A;ДС Веснянка - ДС Серова;1234567;153601;;15846,14554,14564,14565,14566,14531,15112,15113,15890,15114,15115,15566,15122,15774,15891,15665,15838,15020,15104,15103,15101,15105,15092,15093,15094,69175,69176;;
74с;;;;4 АП;16480,;;;A>B;A;ДС Малиновка-4-Городской Вал;67;152556;;54638,14951,14952,14953,14954,14955,14956,14957,14958,14917,143099,14919,14920,14921,204052,15197,15200,15205,15209,15211,15597,14690;;d1-d5 - 01.04.2015<br>d6-d7 - 14.02.2015
;;;;;16526,;;;A>B;A;ДС Малиновка-4 - Городской Вал;12345;156751;;54638,14951,14952,14953,14954,14955,14956,14957,14958,14917,143099,14919,14920,14921,204052,15197,15200,15205,15209,15211,15597,14690;;
;;;;;16480,;;;B>A;A;Городской Вал - ДС Малиновка-4;1234567;152552;;14690,15122,15568,15210,15208,15204,14908,212056,14910,14922,14923,14924,14925,14926,14927,14928,14929,14947,14948,14949,14950,147112,54638;;
75;;;;5 АП;16410,;;;A>B;A;ДС Малиновка-4 - ст.м. Петровщина;1234567;144091;;54638,14951,14952,14982,14983,15585,14942,14943,14933,15592,15593,15594,15595,15664,15197;;d1-d5 - 01.04.2015<br>d6-d7 - 06.12.2014
;;;;;;;;B>A;A;ст.м. Петровщина - ДС Малиновка-4;1234567;144093;;15197,15198,15570,15571,15572,54693,14938,14939,14940,14941,14980,14981,14949,14950,147112,54638;;
;;;;;;;0.74;D>A1;A;АП 5 - ДС Малиновка-4 (подбор со ст.м. Петровщина);1234567;144092;;15198,15570,15571,15572,54693,14938,14939,14940,14941,14980,14981,14949,14950,147112,54638;;
76э;;;;6 АП;16375,;;;A>B;A;ДС Ангарская-4 - ТЦ Ждановичи;234567;140720;;68909,15330,15331,15332,15414,15417,14740,14754,14757,14760,14758,14759,14696,15853,14553,14555,14556,14557,14558,58376;;d2-d5 - 20.03.2015<br>d6 - 01.11.2014<br>d7 - 02.11.2014
;;;;;;;;B>A;A;ТЦ Ждановичи - ДС Ангарская-4;234567;140721;;58376,14559,14560,14561,14562,14563,14552,15854,14844,14764,14765,14766,14767,14770,14773,15404,15409,15303,15304,15833,68909;;
78;;;;4 АП;16480,;;;A>B;A;ДС Кунцевщина - Бобруйская;1234567;152564;;15858,15553,15554,58331,72952,15517,15247,15254,15255,15263,15277,15278,15279,15280,15281,14685,14686,14687,14688,14570,14571,15893,15894,133147,212036;;d1-d5 - 01.04.2015<br>d6-d7 - 14.02.2015
;;;;;;;;B>A;A;Бобруйская  - ДС Кунцевщина;1234567;152566;;212036,69093,15944,15892,14525,14526,14575,14576,14577,15220,15221,15222,15223,15224,15225,15256,15257,15258,15518,15519,72951,15520,15521,15522,15858;;
