ID	City	Area	Street	Name	Info	Lng	Lat	Stops	StopNum	Pikas2012.11.19	osm:NodeID	osm:name:ru
14624	0	0	0	Автобусный парк №6		27.65364	53.85029	14586,14585	s14624		661106834	Автобусный парк №6
54246	0	0	0	Автобусный парк №6		27.65361	53.84757	14618,14586	s54246			Автобусный парк №6
195092	0	0	0	Автобусный парк №6		27.65362	53.84587	14618,14617	s195092			Автобусный парк №6
54225	0	0	0	Автобусный парк №7		27.59866	53.95383	14461,14460	s54225			Автобусный парк №7
15051	0	0	ул. Корженевского	Автоваз		27.53286	53.84349	15052,15089,15050	s15051		614945414	АвтоВАЗ
15052	0	0	ул. Л. Кижеватова	АвтоВАЗ		27.53307	53.84367	15051,15090	78		614945413	АвтоВАЗ
15089	0	0		АвтоВАЗ		27.53362	53.84296	15051	78		614945415	АвтоВАЗ
15090	0	0		Автоваз		27.5347	53.84432	15091,15052,15070	s15090		767090545	АвтоВАЗ
15091	0	0		Автоваз		27.53432	53.84491	15090,15106	s15091		767088389	АвтоВАЗ
73207	0	0	0	Автозаводская		27.64842	53.86909	15295,15346,15294,15704	s73207			Автозаводская
15995	0	0	ул. Бабушкина	Автокомбинат №5		27.58832	53.80781	191180,16000	s15995		767183441	Автокомбинат №5
15996	0	0		Автокомбинат №5		27.58795	53.80877	191180,15994	s15996		767183538	Автокомбинат №5
191180	0	0	0	Автокомбинат №5		27.58748	53.80803	15995,15996,191181	s191180			Автокомбинат №5
16006	0	0	Авторынок	Авторынок~(посадка - высадка пассажиров)		27.42087	53.8592	16004,14952	s16006			Авторынок
15684	0	0	ул. Железнодорожная	Автосила		27.50359	53.87537	15696,16253	s15684		1393659971	Автосила
15696	0	0		Автосила		27.50645	53.8761	15684,15683,15682	s15696		320719159	Автосила
15504	0	0		Автостоянка		27.63819	53.8343	16012,15525,15953	s15504		767183435	Автостоянка
15525	0	0		Автостоянка		27.63627	53.83458	15504,133126	s15525		767183735	Автостоянка
71342	0	0	ул. П. Панченко	Автостоянка		27.41689	53.88475	71340,15142	s71342			Автостоянка
73665	0	0	0	Автостоянка~(высадка пассажиров)		27.41512	53.88957	73663,73666	s73665		498853684	Автостоянка
14719	0	0	пр. Жукова	Автотаксосервис		27.52023	53.87644	14814,14813	s14719		2623873515	АвтоТаксоСервис
14814	0	0		Автотаксосервис		27.51807	53.87757	15698,14719	s14814		767088681	АвтоТаксоСервис
230034	0	0	0	Агроусадьба		27.67593	53.76087	143044,16176	s230034			Агроусадьба
15194	0	0	0	АЗС		27.48703	53.90037	14849,14851,15169	s15194			АЗС
15464	0	0	ул. Прушинских	АЗС		27.57872	53.83515	15466,15465	s15464		704081626	АЗС
15466	0	0		АЗС		27.5795	53.83459	15464,15463,16159	s15466		704081624	АЗС
15500	0	0		АЗС		27.60658	53.83411	15541,15540	s15500		767183689	АЗС
15541	0	0		АЗС		27.60602	53.83421	15500,15499	s15541		767183822	АЗС
16010	0	0		АЗС		27.60196	53.96874	16011,16076,230005	s16010		767183426	АЗС
16011	0	0	0	АЗС		27.60348	53.96778	16010,16008	s16011		767074819	АЗС
91040	0	0	0	АЗС		27.53947	53.95967	91041,91043	s91040			АЗС
91041	0	0	0	АЗС		27.53827	53.95992	91040,14968,197231	s91041			АЗС
14409	0	0	0	Ак. Купревича		27.68314	53.92644	14410,14408	s14409		725142976	Академика Купревича
14410	0	0	0	Ак. Купревича		27.68263	53.92646	14409,69035	s14410		725142983	Академика Купревича
69035	0	0	0	Ак. Купревича		27.68117	53.92502	16003,16018,14410	s69035			Академика Купревича
