from	to
улица Свердлова	улица Свердлова
улица Славинского	улица Славинского
улица Советских Пограничников	улица Советских Пограничников
улица Соколовского	улица Соколовского
улица Суворова	улица Суворова
улица Тавлая	улица Тавлая
улица Терешковой	улица Терешковой
улица Томина	улица Томина
улица Фомичёва	улица Фомичёва
улица Химиков	улица Химиков
улица Шарипова	улица Шарипова
универсам "Вишнявец"	универсам "Вишнявец"
универсам "Октябрьский"	универсам "Октябрьский"
Университет	Университет
училище Олимпийского Резерва	училище Олимпийского Резерва
Фабричный	Фабричный
Фестивальная улица	Фестивальная улица
Фолюш	Фолюш
Форты	Форты
Хвойная улица	Хвойная улица
Химволокно	Химволокно
Хлебозавод	Хлебозавод
Центральный рынок	Центральный рынок
Центр занятости	Центр занятости
Церковь всех белорусских святых	Церковь всех белорусских святых
Школа	Школа
Электротехнический колледж	Электротехнический колледж
Южная улица	Южная улица
Южный	Южный
