from	to
д/с Масюковщина	д/с Масюковщина
д/с Маяковского	д/с Маяковского
д/с Одоевского	д/с Одоевского
д/с Семашко	д/с Семашко
д/с Серебрянка	д/с Серебрянка
д/с Серова	д/с Серова
д/с Сухарево	д/с Сухарево
д/с Уручье-4	д/с Уручье-4
д/с Чижовка	д/с Чижовка
д/с Чижовка (Высадка пасс.)	д/с Чижовка (Высадка пасс.)
д/с Чижовка-2	д/с Чижовка-2
д/с Чижовка-6	д/с Чижовка-6
д/с Шабаны	д/с Шабаны
д/с Шабаны (Высадка пасс.)	д/с Шабаны (Высадка пасс.)
д/с школа	д/с школа
д/с Юго-Запад	д/с Юго-Запад
Дамбровка	Дамбровка
Дачный проезд	Дачный проезд
дворец Легкой Атлетики	дворец Легкой Атлетики
дворец Лёгкой Атлетики	дворец Лёгкой Атлетики
дворец Спорта	дворец Спорта
Дворище	Дворище
Денисовская	Денисовская
дет. сад	дет. сад
Детсад	Детсад
детская больница	детская больница
Дипгородок	Дипгородок
Дмитриев Кирмаш	Дмитриев Кирмаш
Долгиновский тракт	Долгиновский тракт
Долгобродская улица	Долгобродская улица
Домбровка	Домбровка
Дом ветеранов ВОВ	Дом ветеранов ВОВ
Дом Кино	Дом Кино
Дом Мебели	Дом Мебели
Дом Милосердия	Дом Милосердия
Дом офицеров	Дом офицеров
Дом Печати	Дом Печати
Дом Правосудия	Дом Правосудия
Дражня	Дражня
Дружба	Дружба
Дружба кинотеатр	Дружба кинотеатр
ДС Восточная (высадка пассажиров)	ДС Восточная (высадка пассажиров)
ДС Восточная (посадка пассажиров)	ДС Восточная (посадка пассажиров)
ДС Каменная Горка-5	ДС Каменная Горка-5
ДС Славинского	ДС Славинского
ДС Славинского (высадка пассажиров)	ДС Славинского (высадка пассажиров)
Дубравинская	Дубравинская
ДЭУ	ДЭУ
Есенина	Есенина
Есенина, 111	Есенина, 111
ж/д переход	ж/д переход
Жасминовая	Жасминовая
ЖБИ Завод	ЖБИ Завод
Ждановичи ТЦ	Ждановичи ТЦ
ЖД переход	ЖД переход
ЖД Переход	ЖД Переход
Ж-д ст. «Минск-Южный»	Ж-д ст. «Минск-Южный»
Железнодорожная улица	Железнодорожная улица
Железнодорожный переезд	Железнодорожный переезд
Жиновича ул.	Жиновича ул.
Жлобинская	Жлобинская
Жудро ул.	Жудро ул.
Жукова просп.	Жукова просп.
Жуковского	Жуковского
Завод "Белкоммунмаш"	Завод "Белкоммунмаш"
Завод "Транзистор"	Завод "Транзистор"
Завод "Электроника"	Завод "Электроника"
Завод игристых вин	Завод игристых вин
Завод Игристых Вин	Завод Игристых Вин
Завод колёсных тягачей	Завод колёсных тягачей
Завод Литмаш	Завод Литмаш
Запад-2	Запад-2
Запад-3	Запад-3
Запад-3 д/с	Запад-3 д/с
Запад-3 микрорайон	Запад-3 микрорайон
Запад-4 микрорайон	Запад-4 микрорайон
Западный посёлок	Западный посёлок
Западный универсам	Западный универсам
Запорожская площадь	Запорожская площадь
Запорожская ул.	Запорожская ул.
Заславская ул.	Заславская ул.
Зацень	Зацень
Зацень-2	Зацень-2
Зелёный Луг-5	Зелёный Луг-5
Зелёный Луг-6	Зелёный Луг-6
Зимняя	Зимняя
Зоопарк	Зоопарк
Игнатовского ул.	Игнатовского ул.
Игуменский тракт	Игуменский тракт
Измайловская	Измайловская
Илимская	Илимская
Индустриальная ул.	Индустриальная ул.
институт Культуры	институт Культуры
институт Неврологии и Нейрохирургии	институт Неврологии и Нейрохирургии
Ириновская	Ириновская
Кaфе "Диалог"	Кaфе "Диалог"
Казимировская	Казимировская
Казимировская, 21	Казимировская, 21
Казимировская ул.	Казимировская ул.
Калиновского	Калиновского
Кальварийская	Кальварийская
Камвольный комбинат	Камвольный комбинат
Каменная горка-3	Каменная горка-3
Каменная горка-4	Каменная горка-4
Каменная Горка-4	Каменная Горка-4
Каменная Горка-5	Каменная Горка-5
Каменная Горка ст.м.	Каменная Горка ст.м.
Каменногорская	Каменногорская
Каменногорская, 100	Каменногорская, 100
Каменногорская, 14	Каменногорская, 14
Карастояновой д/с	Карастояновой д/с
Карастояновой ул.	Карастояновой ул.
Карбышева	Карбышева
Карвата	Карвата
Каролинская	Каролинская
кафе "Диалог"	кафе "Диалог"
Каховская	Каховская
Каховская ул.	Каховская ул.
Кедышко	Кедышко
Киев кинотеатр	Киев кинотеатр
Киевский Сквер	Киевский Сквер
кинотеатр "Вильнюс"	кинотеатр "Вильнюс"
кинотеатр "Комсомолец"	кинотеатр "Комсомолец"
кинотеатр "Ракета"	кинотеатр "Ракета"
кинотеатр "Салют"	кинотеатр "Салют"
кинотеатр "Электрон"	кинотеатр "Электрон"
Кирова	Кирова
Кисилева	Кисилева
