from	to
улица Седых	улица Седых
улица Серова	улица Серова
улица Скрипникова	улица Скрипникова
улица Солтыса	улица Солтыса
улица Сырокомли	улица Сырокомли
улица Тимирязева	улица Тимирязева
улица Тухачевского	улица Тухачевского
улица Филимонова	улица Филимонова
улица Фроликова	улица Фроликова
улица Чайковского	улица Чайковского
улица Червякова	улица Червякова
улица Чигладзе	улица Чигладзе
улица Чкалова	улица Чкалова
улица Шамякина	улица Шамякина
улица Шишкина	улица Шишкина
улица Щедрина	улица Щедрина
улица Щорса	улица Щорса
улица Я. Купалы	улица Я. Купалы
улица Якуба Коласа	улица Якуба Коласа
улица Якубовского	улица Якубовского
улица Янки Брыля	улица Янки Брыля
улица Янковского	улица Янковского
Универмаг	Универмаг
универсам	универсам
Универсам	Универсам
универсам "Рига"	универсам "Рига"
универсам "Родная сторона"	универсам "Родная сторона"
универсам "Серебрянка"	универсам "Серебрянка"
универсам "Таллин"	универсам "Таллин"
Универсам «Волгоград»	Универсам «Волгоград»
универсам Первомайский	универсам Первомайский
Университет Физкультуры	Университет Физкультуры
Уральская	Уральская
Уральская улица	Уральская улица
Уручье 4	Уручье 4
Уручье-6	Уручье-6
Уручье ст.м.	Уручье ст.м.
фабрика "Коммунарка"	фабрика "Коммунарка"
фабрика Коммунарка	фабрика Коммунарка
Факультет радиофизики	Факультет радиофизики
Федорова Академика ул.	Федорова Академика ул.
Филимонова	Филимонова
Фрунзенский универсам	Фрунзенский универсам
Ф-Т Радиофизики	Ф-Т Радиофизики
Футбольный Манеж	Футбольный Манеж
Харьковская улица	Харьковская улица
Химреактивы магазин	Химреактивы магазин
Хладокомбинат	Хладокомбинат
Хмелевского	Хмелевского
Хозмаг	Хозмаг
Холмогорская	Холмогорская
Центр "Милосердие"	Центр "Милосердие"
Центральная	Центральная
Центр психического здоровья	Центр психического здоровья
Цна	Цна
Цна-1	Цна-1
Цна-2	Цна-2
Цнянка-1	Цнянка-1
Чайковского д/с	Чайковского д/с
Чайлытко	Чайлытко
Чеботарёва	Чеботарёва
Червенский рынок	Червенский рынок
Чижовка-2	Чижовка-2
Чижовка-6 микрорайон	Чижовка-6 микрорайон
Чижовка-Арена	Чижовка-Арена
Чорного К. ул.	Чорного К. ул.
Шабаны-1	Шабаны-1
Шабаны-2	Шабаны-2
Шафарнянская	Шафарнянская
Шепичи	Шепичи
Ширмы	Ширмы
Широкая	Широкая
школа	школа
Школа	Школа
школа 132	школа 132
школа-интернат	школа-интернат
Школа-интернат	Школа-интернат
школа №130	школа №130
школа №140	школа №140
Школа № 183	Школа № 183
Шпилевского, 57	Шпилевского, 57
Щербакова	Щербакова
Щорса	Щорса
Экономический Университет	Экономический Университет
Энергетический колледж	Энергетический колледж
Эпк Завод	Эпк Завод
Юбилейная г.-Ца	Юбилейная г.-Ца
Юго-Запад	Юго-Запад
Юго-Запад-1	Юго-Запад-1
Юго-Запад-2	Юго-Запад-2
Юго-Запад-3	Юго-Запад-3
Юго-Запад-4	Юго-Запад-4
Юго-Западная	Юго-Западная
Я. Коласа	Я. Коласа
Якубова	Якубова
Янковского	Янковского
