from	to
оз. Чёрное	оз. Чёрное
оз. Чёрное Болото	оз. Чёрное Болото
оз. Черосово	оз. Черосово
оз. Черствятское	оз. Черствятское
оз. Чёртово	оз. Чёртово
оз. Чистик	оз. Чистик
оз. Шевино	оз. Шевино
оз. Шелохово	оз. Шелохово
оз. Шо	оз. Шо
оз. Щербаковское	оз. Щербаковское
оз. Щибот	оз. Щибот
оз.Яновичское	оз.Яновичское
озера Хатьковы	озера Хатьковы
Озерище	Озерище
Озеро	Озеро
озеро "Острошицкое"	озеро "Острошицкое"
озеро "Святое"	озеро "Святое"
озеро "Шаманка"	озеро "Шаманка"
озеро Азаренское	озеро Азаренское
озеро Азароново	озеро Азароново
озеро Азерцы	озеро Азерцы
озеро Аксеново	озеро Аксеново
озеро Алашское	озеро Алашское
озеро Алоизберг	озеро Алоизберг
озеро Белое	озеро Белое
озеро Богушеввича	озеро Богушеввича
озеро Вир	озеро Вир
озеро Гута	озеро Гута
озеро Езерище	озеро Езерище
озеро Заболотье	озеро Заболотье
озеро Крапивное	озеро Крапивное
озеро Красное	озеро Красное
озеро Кут	озеро Кут
озеро Лань	озеро Лань
озеро Лисно	озеро Лисно
озеро Молодежное	озеро Молодежное
озеро Молокозаводское	озеро Молокозаводское
озеро Мох	озеро Мох
Озеро на Репина	Озеро на Репина
озеро Нещердо	озеро Нещердо
озеро Обабье	озеро Обабье
озеро Обида	озеро Обида
озеро Оболе	озеро Оболе
озеро Образцы	озеро Образцы
озеро Обстерно	озеро Обстерно
озеро Обуховское	озеро Обуховское
озеро Ожехово	озеро Ожехово
озеро Озерайце	озеро Озерайце
озеро Озерки	озеро Озерки
озеро Озерко	озеро Озерко
озеро Окнистое	озеро Окнистое
озеро Окно	озеро Окно
озеро Окуневец	озеро Окуневец
озеро Окунево	озеро Окунево
озеро Окуневчик	озеро Окуневчик
озеро Окунец	озеро Окунец
озеро Окунино	озеро Окунино
озеро Окунь	озеро Окунь
озеро Ордово	озеро Ордово
озеро Отводы	озеро Отводы
озеро Парковое	озеро Парковое
Озеро Патрика	Озеро Патрика
озеро Рудники	озеро Рудники
озеро Святое	озеро Святое
озеро Семиховичи	озеро Семиховичи
озеро Сенница	озеро Сенница
озеро Стаи	озеро Стаи
озеро Тайное	озеро Тайное
озеро Худовец	озеро Худовец
озеро Черное	озеро Черное
озеро Чистая Лужа	озеро Чистая Лужа
озеро Юбилейное	озеро Юбилейное
озерцо	озерцо
Озерянское озеро	Озерянское озеро
Оконо	Оконо
Оконце	Оконце
окопы	окопы
Окунь	Окунь
Олтушское	Олтушское
Ольса	Ольса
Олься	Олься
Ольховка	Ольховка
Ольшанка	Ольшанка
Ольшанское	Ольшанское
Ольшица	Ольшица
Омшаное	Омшаное
Опита	Опита
Оплисо	Оплисо
Опса	Опса
Оптино	Оптино
Ореховно	Ореховно
Ореховня	Ореховня
Ореховое	Ореховое
Ореховское	Ореховское
Орлея	Орлея
Орлинское	Орлинское
Орловка	Орловка
Орпа	Орпа
Орце	Орце
Освейское озеро	Освейское озеро
Освято	Освято
Осиновка	Осиновка
Осиповичское водохранилище	Осиповичское водохранилище
Осовище Большое	Осовище Большое
Осовское	Осовское
Осотень	Осотень
Остапощково	Остапощково
Остров	Остров
Островенское	Островенское
Островиты	Островиты
Островцы	Островцы
Осух	Осух
Отстойник	Отстойник
Офицерское	Офицерское
Очистные сооружения	Очистные сооружения
Падаута	Падаута
пажарный водоём	пажарный водоём
Палик	Палик
Панское	Панское
Паперня	Паперня
Пасужа	Пасужа
Паулье	Паулье
ПВ-150	ПВ-150
Пеликаны	Пеликаны
Перекоша	Перекоша
Переново	Переново
Перешитуха.	Перешитуха.
Перильце	Перильце
Персток	Персток
Песочное	Песочное
Песчанка	Песчанка
Песчаное	Песчаное
Петровичское вдхр.	Петровичское вдхр.
Петровское	Петровское
Печерское озеро	Печерское озеро
Пивинец	Пивинец
Плавно	Плавно
Плавун	Плавун
Платично	Платично
Плесецкое	Плесецкое
Плесо	Плесо
Плещеницкое водохранилище	Плещеницкое водохранилище
Плисса	Плисса
Плищин	Плищин
Плоское	Плоское
Плотишенки	Плотишенки
Плоч	Плоч
Плюсы	Плюсы
Пляж	Пляж
пляж Южный	пляж Южный
Погост	Погост
Подгайцы	Подгайцы
Поддворное	Поддворное
Подкостёлок	Подкостёлок
Подлужное	Подлужное
Пожарное водохранилице	Пожарное водохранилице
Пожарный	Пожарный
пожарный водоем	пожарный водоем
Пожарный водоем	Пожарный водоем
Пожарный водоём	Пожарный водоём
Половица	Половица
Полозно	Полозно
Полоневичи	Полоневичи
Полсвиж	Полсвиж
Получье	Получье
Поля Фильтрации	Поля Фильтрации
Поречское	Поречское
Поровно	Поровно
Поросица	Поросица
Поставское озеро	Поставское озеро
Постовня	Постовня
Почаник	Почаник
ПРИПЯТЬ	ПРИПЯТЬ
Присухое	Присухое
Пролобно	Пролобно
Проня	Проня
Проров	Проров
протока Волотова	протока Волотова
пруд Бернандина	пруд Бернандина
Прудик У Шрека	Прудик У Шрека
Пруд Околица	Пруд Околица
Пруд Полонка	Пруд Полонка
Пружанское озеро	Пружанское озеро
Птичь	Птичь
Пуповское	Пуповское
Пустое	Пустое
Пушно	Пушно
Пырщина	Пырщина
Пышно	Пышно
Р.НЕМАН	Р.НЕМАН
Радомля	Радомля
Раздяловичи	Раздяловичи
РАКИТЕНСКОЕ	РАКИТЕНСКОЕ
Расне	Расне
Расолай	Расолай
Рашное	Рашное
Рвы	Рвы
Ревучее	Ревучее
Река "Мерица"	Река "Мерица"
Репейно	Репейно
Реста	Реста
Речище	Речище
Рича	Рича
Рогово	Рогово
Рогознянское	Рогознянское
Розливы	Розливы
Ройст	Ройст
Роман	Роман
Романтическое	Романтическое
Ропно	Ропно
Россомачинское	Россомачинское
Россохи	Россохи
Рубовское	Рубовское
Рудавец	Рудавец
Рудаково	Рудаково
Рударэя	Рударэя
Рудёнково	Рудёнково
Рудея	Рудея
Рудица	Рудица
Руднянское	Руднянское
Рыбанец	Рыбанец
Рыбница	Рыбница
Рыбное	Рыбное
Рыбхоз	Рыбхоз
Рыбхоз платный пруд	Рыбхоз платный пруд
Рыбчанка	Рыбчанка
Рыжее	Рыжее
Савек	Савек
Савлежоры	Савлежоры
Савонар	Савонар
Сажалка	Сажалка
Сажалка №2	Сажалка №2
Сажалка №3	Сажалка №3
Сажалка №4	Сажалка №4
Сажалка №5	Сажалка №5
Сажелка	Сажелка
Саломирское	Саломирское
Саранчаны	Саранчаны
Сватье	Сватье
Сверзно	Сверзно
Свериновское	Свериновское
Светлогорское	Светлогорское
Светлое	Светлое
Свино	Свино
Свирь	Свирь
Свирьнище	Свирьнище
Свито	Свито
Свитязь	Свитязь
Свядово	Свядово
Святец	Святец
Святое	Святое
Святское	Святское
Святцо	Святцо
Сежка	Сежка
Секлы	Секлы
Селедцово	Селедцово
Селец	Селец
Селеще	Селеще
Селигоры	Селигоры
Селище	Селище
Сельпе	Сельпе
Сельцы	Сельцы
Сельчанское	Сельчанское
Селява	Селява
Селявское	Селявское
Селяхи	Селяхи
Семененки	Семененки
Семенец	Семенец
Семеница	Семеница
Сервеч	Сервеч
Сергеевское	Сергеевское
Сердово	Сердово
Серебрное	Серебрное
Середник	Середник
Сетен	Сетен
Сетовское	Сетовское
Синее	Синее
Синец	Синец
Синчек	Синчек
Синька	Синька
Синьша	Синьша
Синяво	Синяво
Синяя лужа	Синяя лужа
Сипурка	Сипурка
Ситенец	Ситенец
Сияцы	Сияцы
Скачальское	Скачальское
Скно	Скно
Скоброе	Скоброе
Скорень	Скорень
Скрипица	Скрипица
Скупое	Скупое
Слепица	Слепица
Слидец	Слидец
Слинец	Слинец
Слободское	Слободское
Словечна	Словечна
Смердин	Смердин
Смержов	Смержов
Смовж	Смовж
Собельское водохранилище	Собельское водохранилище
Собольское	Собольское
Сож	Сож
СОЖ	СОЖ
Сожский карьер	Сожский карьер
Сокольское	Сокольское
Соленое	Соленое
Солигорский пляж	Солигорский пляж
Солигорское водохранилище	Солигорское водохранилище
Солонец	Солонец
Сомино	Сомино
Соминское	Соминское
Сороки	Сороки
Сорочинское	Сорочинское
Сосно	Сосно
Споровское	Споровское
Споры	Споры
Среднее	Среднее
Ст.Река	Ст.Река
Став	Став
Ставы	Ставы
Станиславское	Станиславское
Стар.Днепр	Стар.Днепр
Стар.Забок	Стар.Забок
Стар.Птичь	Стар.Птичь
Старик	Старик
Стародворское	Стародворское
Старое	Старое
старое возера	старое возера
СТАРОЕ ОЗЕРО	СТАРОЕ ОЗЕРО
Староселье	Староселье
Старуха	Старуха
Старые очистные сооружения	Старые очистные сооружения
Старый Неман	Старый Неман
Ствига	Ствига
Стецки	Стецки
Столбцы	Столбцы
Стоячее	Стоячее
Страдань	Страдань
Страдное	Страдное
Страча	Страча
Страшное	Страшное
Стрелковское	Стрелковское
Стречно	Стречно
Стрешно	Стрешно
Строкло	Строкло
Судково	Судково
Судоболье	Судоболье
Сумовка	Сумовка
Сухое	Сухое
Суя	Суя
Схеда	Схеда
Сырское озеро	Сырское озеро
Сяклiца	Сяклiца
Танек	Танек
Тартак	Тартак
Теклиц	Теклиц
Тенница	Тенница
Теребавля	Теребавля
Тетеринское	Тетеринское
Тетерки	Тетерки
Тименец	Тименец
Тимница	Тимница
Тимошище	Тимошище
Тоболки	Тоболки
Товарный	Товарный
Толокнянка	Толокнянка
Торкли	Торкли
Тортин	Тортин
Торфы	Торфы
ТОРФЯННИК	ТОРФЯННИК
Трест	Трест
Тросливка	Тросливка
Тросно	Тросно
Тростяница	Тростяница
Тростяное	Тростяное
Троща	Троща
Трубинец	Трубинец
Трумпичское	Трумпичское
Тумское	Тумское
Турицкое	Турицкое
Туровейское	Туровейское
Тусьба	Тусьба
Тутчо	Тутчо
Туща	Туща
Тятно	Тятно
Убежо	Убежо
Уборть	Уборть
Ужасья	Ужасья
Узкое	Узкое
Уклеенка	Уклеенка
Уклейно	Уклейно
Улаховщинское	Улаховщинское
Улогово	Улогово
Урода	Урода
Усач	Усач
Усвея	Усвея
Усомля	Усомля
Усох	Усох
Уступье	Уступье
Уся	Уся
Утвино	Утвино
Ухвище	Ухвище
Уша	Уша
Фантан	Фантан
Филиппенское	Филиппенское
Фияново	Фияново
фонтан	фонтан
Фонтан	Фонтан
Фонтан Нептун	Фонтан Нептун
фонтаны	фонтаны
Хатнежик	Хатнежик
Хвощеватик	Хвощеватик
Ходное	Ходное
Холодчие	Холодчие
Холостятское	Холостятское
Хотемля	Хотемля
Хотлинское	Хотлинское
Хотомля	Хотомля
Хулец	Хулец
Церковище	Церковище
Цно	Цно
Цнянское водохр.	Цнянское водохр.
Чалнок	Чалнок
Чарне	Чарне
Чемерица	Чемерица
Чепелёвский водоем	Чепелёвский водоем
Червоное	Червоное
Червятка	Червятка
Черейское	Черейское
Черепетское	Черепетское
Черес	Черес
Черная Урода	Черная Урода
Чернец	Чернец
Чернецкое	Чернецкое
Черное	Черное
Чёрное	Чёрное
Черноцкое	Черноцкое
Чернясто	Чернясто
Чёртово озеро	Чёртово озеро
Чертовский Омут	Чертовский Омут
Чертовское	Чертовское
Черцы	Черцы
Четверть	Четверть
Чечеловское	Чечеловское
Чечель	Чечель
Чигиринское	Чигиринское
Чижовское вдхр.	Чижовское вдхр.
Чисти	Чисти
Чурилово	Чурилово
Шалынец	Шалынец
Шаты	Шаты
Шевино	Шевино
Шилово	Шилово
Шиловское	Шиловское
Широкое	Широкое
Шубницкое	Шубницкое
Щолно	Щолно
Юбилейное	Юбилейное
Юндиловское	Юндиловское
Яглевичичское озеро	Яглевичичское озеро
Яжгиня	Яжгиня
Язно	Язно
Яковское	Яковское
Яменище	Яменище
Ямно	Ямно
Ямное	Ямное
Янели	Янели
Янка	Янка
Яново	Яново
Ясюки	Ясюки
Ячменёк	Ячменёк
