from	to
Городенецкое	Городенецкое
Городищенское	Городищенское
Городно	Городно
Городское	Городское
городское озеро	городское озеро
Городское озеро	Городское озеро
Городской бассейн	Городской бассейн
Городской пляж	Городской пляж
Горожанка	Горожанка
Горынь	Горынь
ГОРЫНЬ	ГОРЫНЬ
Гоща	Гоща
Градирни, Земснаряд	Градирни, Земснаряд
Гребницкое	Гребницкое
Гребной канал	Гребной канал
Гремячее	Гремячее
Грецкое	Грецкое
Гриблужа	Гриблужа
Грибно	Грибно
Грибное	Грибное
Грибопруд	Грибопруд
Гринвальды	Гринвальды
Губеза	Губеза
Гудшее белое	Гудшее белое
Гудшее чёрное	Гудшее чёрное
Гулидовское	Гулидовское
Гурка	Гурка
Гусиное	Гусиное
Гусиное озеро	Гусиное озеро
Густата	Густата
Гусятник	Гусятник
Гута	Гута
Даубле	Даубле
Дворище	Дворище
Дворищское	Дворищское
Девички	Девички
Дегтярёвское	Дегтярёвское
Деменец	Деменец
Демя	Демя
Демяне	Демяне
Деражня	Деражня
Дервениское	Дервениское
Дикий пруд	Дикий пруд
Дикое	Дикое
Дитва	Дитва
Дички	Дички
Длинное	Длинное
Длуге	Длуге
Днепр	Днепр
ДНЕПР	ДНЕПР
Днепро-Брагинское	Днепро-Брагинское
Добромыслинское вдхр.	Добромыслинское вдхр.
Добрынец	Добрынец
Добрынино	Добрынино
Добужское	Добужское
Долгий Деминец	Долгий Деминец
Долгое	Долгое
Должа	Должа
Должина	Должина
Домашевское	Домашевское
Домашковское	Домашковское
Домжерицкое	Домжерицкое
Донец	Донец
Дохнарское	Дохнарское
Дривяты	Дривяты
Дрисвяты	Дрисвяты
Дрисса	Дрисса
Дриссы	Дриссы
Дрогово	Дрогово
Дроздово	Дроздово
Дружно	Дружно
Друйка	Друйка
Друт	Друт
Друт,Друть	Друт,Друть
Друть	Друть
Дубки	Дубки
Дубовец	Дубовец
Дубовское	Дубовское
Дубок	Дубок
Дубро	Дубро
Дубровское вдхр.	Дубровское вдхр.
Дуброк	Дуброк
Дягили	Дягили
Еди	Еди
Еложинское	Еложинское
Ельня	Ельня
Ельня-Большая	Ельня-Большая
Ельня-Малая	Ельня-Малая
Ендреня	Ендреня
Еськино	Еськино
Жаберное	Жаберное
Жадовно	Жадовно
Жадунька	Жадунька
Жаковское	Жаковское
Жельцы	Жельцы
Женское	Женское
Жидинье	Жидинье
жидкий	жидкий
Жлобинсоке озеро	Жлобинсоке озеро
Жовин	Жовин
Жужнево	Жужнево
Журавно	Журавно
Жутинское	Жутинское
Жучино	Жучино
Забельское	Забельское
ЗАБОЛОТСКОЕ	ЗАБОЛОТСКОЕ
Завелье	Завелье
Завищовское	Завищовское
Загатье	Загатье
Загорное	Загорное
Задевское	Задевское
Заднее	Заднее
Залесское озеро	Залесское озеро
Залив	Залив
Замковый пруд	Замковый пруд
Замошье	Замошье
Заозерское	Заозерское
Заозерцы	Заозерцы
Заозерье	Заозерье
Зап.Буг	Зап.Буг
ЗАП.ДВИНА (ДАУГАВА)	ЗАП.ДВИНА (ДАУГАВА)
Западная Двина	Западная Двина
Заполосье	Заполосье
Запольское	Запольское
Заровщина	Заровщина
Заровье	Заровье
Зароновское	Зароновское
Заружано	Заружано
Заславское водохранилище	Заславское водохранилище
Затока	Затока
Затонское	Затонское
Захарище	Захарище
Зацково	Зацково
Зачерное	Зачерное
Заяловское	Заяловское
Званое	Званое
Звериное	Звериное
Звонь	Звонь
Зеленка	Зеленка
Зеленое	Зеленое
Зельвенское	Зельвенское
Змеиное	Змеиное
Золва	Золва
Золовское	Золовское
Золотино	Золотино
Зыковское	Зыковское
Идолта	Идолта
Измок	Измок
Измочка	Измочка
Изубрица	Изубрица
Иказнь	Иказнь
Илгайце	Илгайце
Илгайцы	Илгайцы
Илово	Илово
Искусственное водохранилище	Искусственное водохранилище
Искусственное озеро Рейтана	Искусственное озеро Рейтана
Искусственный водоём	Искусственный водоём
Исно	Исно
Кабак	Кабак
Кабищанка	Кабищанка
Кавеня	Кавеня
Казаково	Казаково
Казённое	Казённое
Калдыбаны	Калдыбаны
Камайское	Камайское
Каменское	Каменское
Каменское озеро	Каменское озеро
Каминское	Каминское
Канава	Канава
Канавы	Канавы
Канал Хабарище	Канал Хабарище
Канаши	Канаши
Каравайно	Каравайно
Карасiк	Карасiк
Карасинка	Карасинка
Карасино	Карасино
Карасюк	Карасюк
Карея	Карея
Карковское	Карковское
Кармановское	Кармановское
Карпинское	Карпинское
Карпятник	Карпятник
Карьер	Карьер
Карьер "Базовский"	Карьер "Базовский"
карьер "Колышки"	карьер "Колышки"
Катилово	Катилово
Катча	Катча
Качайское	Качайское
Качинка	Качинка
Кветино	Кветино
Кирпичные	Кирпичные
Клевье	Клевье
Клетное	Клетное
Клешно	Клешно
Клешня	Клешня
Клименково	Клименково
Клюшово	Клюшово
Княж	Княж
Княжеборьевское	Княжеборьевское
